"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
1 1970 40 2 407.54 "E" 36.02
1 2019 40 1 41.92 "B" 9.81
1 1988 22 2 154.56 "B" 6.45
1 1988 20 2 170 "B" 7
2 1991 108 1 147 "D" 34
1 1993 57 1 109.24 "D" 25.56
2 1999 66 1 139 "D" 32
2 2006 92 2 143 "A" 5
2 1988 92 2 227.15 "B" 10.56
1 1960 71 1 148 "D" 34
2 2005 83 2 107.85 "A" 5.62
2 1960 87 3 279.36 "F" 65.79
1 2003 38 2 306.25 "C" 14.94
1 1974 46 1 262.21 "F" 61.35
1 1970 69 1 164.8 "E" 38.56
1 1947 115 1 215 "D" 35
1 1989 43 2 162 "B" 7
2 1956 66 1 426.85 "G" 99.88
2 1985 112 2 210 "B" 9
1 1997 63 2 148 "B" 7
2 1993 169 2 227 "C" 13
2 1947 63 1 123 "D" 28
1 1947 26 2 212 "B" 6
1 2016 62 1 46.64 "B" 10.91
2 2008 67 1 101 "D" 23
1 2000 60 2 246.35 "C" 11.45
2 1989 192 2 76 "C" 16
1 1988 31 2 263.78 "C" 11.88
1 1983 20 2 243 "C" 12
2 1991 210 3 131.2 "D" 23.31
1 2016 82 1 45.53 "B" 10.65
1 1950 25 2 328.32 "C" 15.78
2 1947 60 2 197 "B" 6
2 1981 98 2 270.01 "E" 40.47
1 2001 57 2 223 "B" 9
2 1977 98 2 466.49 "D" 28.42
1 2017 43 1 54.95 "C" 12.86
1 2019 66 2 61.28 "A" 2.9
1 2017 45 2 47.96 "C" 11.22
2 2017 127 1 34.18 "B" 10.11
1 2018 37 2 34.22 "B" 8.01
1 2016 58 1 39.6 "B" 9.27
2 1989 110 2 154 "B" 7
1 2017 43 1 45.57 "B" 10.66
1 2018 40 1 120.39 "A" 2.61
1 1953 65 2 268 "C" 15
1 1960 68 2 300 "C" 16
2 1979 120 2 227 "D" 26
1 1948 102 1 296 "F" 69
2 1951 164 1 309.09 "G" 92.73
2 1986 282 2 241.72 "C" 14.63
1 1992 71 2 143 "A" 5
1 2007 36 2 166 "B" 7
1 2001 57 2 220 "C" 11
2 2006 83 1 114 "D" 26
1 2010 66 2 166.85 "B" 6.31
1 2002 34 2 234 "B" 9
1 2017 64 1 53.6 "C" 12.54
2 2001 83 2 219 "B" 10
2 1900 55 1 298.08 "E" 48.42
1 1993 26 2 312.86 "C" 14.22
1 1985 66 2 230 "C" 12
1 1948 97 1 162 "E" 37
1 2017 30 1 74.31 "C" 17.07
2 1960 211 2 320.98 "D" 25.09
1 2004 65 2 174.94 "B" 6.82
1 1989 64 2 165 "B" 6
1 2013 1452 1 36.61 "B" 8.57
1 1970 98 1 204 "E" 47
2 2014 81 1 37.57 "B" 8.79
1 2019 65 1 48.39 "C" 11.32
1 2007 64 2 233.98 "C" 11.29
1 2018 48 1 61.36 "C" 14.36
2 1974 105 2 291 "E" 52
1 2001 45 2 191 "B" 7
1 1998 44 2 222 "B" 9
2 1976 80 1 273.04 "F" 65.42
1 2000 47 2 229 "B" 10
2 2006 122 1 81 "C" 18
2 2006 123 2 147 "A" 5
1 2019 44 1 62.48 "C" 14.36
1 1980 74 1 312.55 "F" 73.14
1 1985 49 2 220.9 "B" 9.82
1 1978 67 2 136 "B" 6
1 2018 48 1 46.91 "B" 10.98
1 1949 57 1 283.24 "F" 66.28
1 1948 30 2 295 "C" 13
2 1989 100 2 266 "C" 14
1 1970 77 2 274 "E" 54
2 1989 86 1 110 "D" 25
1 1989 31 2 248 "B" 10
1 2018 61 1 59.11 "C" 13.83
1 1948 67 2 203 "B" 10
1 2014 62 1 47.06 "C" 11.01
1 2009 32 2 224 "C" 11
1 2006 37 2 192 "B" 9
1 1974 65 1 218 "E" 51
1 1948 72 1 196 "E" 45
1 1947 56 1 174 "E" 40
1 1965 103 1 139.17 "D" 32.57
1 1974 69 1 257.02 "F" 60.14
1 1947 44 1 190 "E" 44
1 1947 80 2 252 "B" 8
2 2009 79 2 226 "C" 11
1 1948 85 1 154 "E" 36
2 1975 153 2 230 "E" 54
1 1948 63 1 266 "F" 62
1 2008 58 1 103 "D" 24
1 2001 48 2 200.24 "B" 7.7
1 2016 43 2 75.2 "A" 2.45
2 2015 119 2 105 "A" 3
1 2013 1128 1 47.15 "C" 11.03
1 2017 59 1 48.05 "C" 11.17
1 2017 59 1 62.24 "C" 14.56
2 1974 101 1 313.59 "F" 73.38
1 1992 52 2 266.98 "C" 13.21
2 2001 110 1 108 "D" 25
2 1948 57 2 301 "F" 68
1 1988 47 2 238.35 "B" 10.53
2 1988 120 1 114 "D" 26
1 1983 21 2 225 "B" 8
1 2004 84 2 225.24 "C" 11.14
1 1900 52 2 245.84 "B" 8
1 1948 68 1 172 "E" 40
1 1965 94 2 282.66 "C" 11.51
1 1989 42 2 264 "C" 12
1 2011 63 2 198.84 "B" 8.43
1 1969 45 1 145.69 "D" 34.09
1 1900 21 2 261.79 "B" 8.52
2 2006 82 2 212 "B" 9
1 2017 87 1 45.4 "B" 10.62
2 1981 99 2 219.76 "B" 8.61
2 1974 134 1 156.08 "E" 36.52
1 2018 36 1 56.1 "C" 12.88
1 2003 42 2 186.51 "B" 6.68
2 1989 186 1 121 "D" 28
1 1974 76 1 256.91 "F" 60.11
1 1989 69 1 157 "E" 36
2 1948 87 1 322 "F" 75
1 2018 18 2 99.85 "A" 4.3
2 1994 109 2 102.51 "A" 5.43
1 1995 44 2 217.07 "B" 8.7
2 1981 143 2 209.51 "C" 11.46
